Minute 0
train Direction:ashmont Station:alewife Passengers:0
station Name:ashmont Passengers:0 AshTrain:false AleTrain:false
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
station Name:downtown_crossing Passengers:0 AshTrain:false AleTrain:false
station Name:park_street Passengers:0 AshTrain:false AleTrain:false
station Name:charles_mgh Passengers:0 AshTrain:false AleTrain:false
station Name:kendall Passengers:0 AshTrain:false AleTrain:false
station Name:central Passengers:0 AshTrain:false AleTrain:false
station Name:harvard Passengers:0 AshTrain:false AleTrain:false
station Name:porter Passengers:0 AshTrain:false AleTrain:false
station Name:davis Passengers:0 AshTrain:false AleTrain:false
station Name:alewife Passengers:0 AshTrain:false AleTrain:false
Minute 1
station Name:ashmont Passengers:0 AshTrain:false AleTrain:false
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
station Name:downtown_crossing Passengers:0 AshTrain:false AleTrain:false
station Name:park_street Passengers:0 AshTrain:false AleTrain:false
station Name:charles_mgh Passengers:0 AshTrain:false AleTrain:false
station Name:kendall Passengers:0 AshTrain:false AleTrain:false
station Name:central Passengers:0 AshTrain:false AleTrain:false
station Name:harvard Passengers:0 AshTrain:false AleTrain:false
station Name:porter Passengers:0 AshTrain:false AleTrain:false
station Name:davis Passengers:4 AshTrain:false AleTrain:false
station Name:alewife Passengers:4 AshTrain:false AleTrain:false
Minute 2
train Direction: ashmont Approaching:davis Passengers:0
train Direction: ashmont Approaching:davis Passengers:0
station Name:ashmont Passengers:0 AshTrain:false AleTrain:false
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
station Name:downtown_crossing Passengers:0 AshTrain:false AleTrain:false
station Name:park_street Passengers:0 AshTrain:false AleTrain:false
station Name:kendall Passengers:0 AshTrain:false AleTrain:false
station Name:charles_mgh Passengers:0 AshTrain:false AleTrain:false
station Name:central Passengers:0 AshTrain:false AleTrain:false
station Name:harvard Passengers:3 AshTrain:false AleTrain:false
station Name:porter Passengers:0 AshTrain:false AleTrain:false
station Name:davis Passengers:4 AshTrain:false AleTrain:false
station Name:alewife Passengers:4 AshTrain:false AleTrain:false
Minute 3
train Direction: alewife Approaching:ashmont Passengers:0
station Name:ashmont Passengers:0 AshTrain:false AleTrain:false
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:porter Passengers:0 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
station Name:alewife Passengers:4 AshTrain:false AleTrain:false
station Name:downtown_crossing Passengers:0 AshTrain:false AleTrain:false
station Name:park_street Passengers:0 AshTrain:false AleTrain:false
station Name:charles_mgh Passengers:0 AshTrain:false AleTrain:false
station Name:kendall Passengers:0 AshTrain:false AleTrain:false
station Name:central Passengers:0 AshTrain:false AleTrain:false
station Name:harvard Passengers:3 AshTrain:false AleTrain:false
station Name:davis Passengers:4 AshTrain:false AleTrain:false
Minute 4
train Direction:alewife Station:ashmont Passengers:0
train Direction:ashmont Station:davis Passengers:0
station Name:ashmont Passengers:0 AshTrain:false AleTrain:true
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:porter Passengers:5 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:davis Passengers:4 AshTrain:true AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:alewife Passengers:4 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
station Name:downtown_crossing Passengers:0 AshTrain:false AleTrain:false
station Name:park_street Passengers:0 AshTrain:false AleTrain:false
station Name:charles_mgh Passengers:0 AshTrain:false AleTrain:false
station Name:kendall Passengers:0 AshTrain:false AleTrain:false
station Name:central Passengers:0 AshTrain:false AleTrain:false
station Name:harvard Passengers:3 AshTrain:false AleTrain:false
Minute 5
train Direction:ashmont Station:davis Passengers:0
train Direction:alewife Station:ashmont Passengers:0
station Name:ashmont Passengers:0 AshTrain:false AleTrain:true
station Name:shawmut Passengers:0 AshTrain:false AleTrain:false
station Name:fields_corner Passengers:0 AshTrain:false AleTrain:false
station Name:jfk_umass Passengers:0 AshTrain:false AleTrain:false
station Name:andrew Passengers:0 AshTrain:false AleTrain:false
station Name:broadway Passengers:0 AshTrain:false AleTrain:false
station Name:savin_hill Passengers:0 AshTrain:false AleTrain:false
station Name:porter Passengers:5 AshTrain:false AleTrain:false
station Name:south Passengers:0 AshTrain:false AleTrain:false
